Interest Code,Job Zone,Code,Occupation,Featured
CR,1-2,51-5112.00,Printing Press Operators,
CER,1-2,43-3061.00,Procurement Clerks,
CE,1-2,43-5061.00,"Production, Planning, and Expediting Clerks",
CRS,1-2,43-5031.00,Public Safety Telecommunicators,Y
CES,1-2,43-4171.00,Receptionists and Information Clerks,Y
CSE,1-2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,
CER,1-2,33-9099.02,Retail Loss Prevention Specialists,Y
CES,1-2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Y
CRE,1-2,43-5071.00,"Shipping, Receiving, and Inventory Clerks",
CRE,1-2,53-7065.00,Stockers and Order Fillers,Y
CRE,1-2,43-2011.00,"Switchboard Operators, Including Answering Service",
CSE,1-2,43-2021.00,Telephone Operators,
CE,1-2,43-3071.00,Tellers,
CE,1-2,23-2093.00,"Title Examiners, Abstractors, and Searchers",
CR,1-2,33-9093.00,Transportation Security Screeners,
CSE,1-2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",
CSR,1-2,35-3031.00,Waiters and Waitresses,Y
CR,1-2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",
C,1-2,43-9022.00,Word Processors and Typists,
CRE,3,53-2021.00,Air Traffic Controllers,
CRE,3,53-2022.00,Airfield Operations Specialists,Y
CRI,3,53-6051.01,Aviation Inspectors,
CE,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Y
CR,3,27-4012.00,Broadcast Technicians,
CE,3,43-4011.00,Brokerage Clerks,
CRE,3,53-2012.00,Commercial Pilots,Y
CIR,3,15-1299.08,Computer Systems Engineers/Architects,Y
CRI,3,15-1232.00,Computer User Support Specialists,
C,3,27-3092.00,Court Reporters and Simultaneous Captioners,
CER,3,33-3051.04,Customs and Border Protection Officers,
CE,3,13-1041.08,Customs Brokers,Y
CRS,3,31-9091.00,Dental Assistants,Y
CAR,3,43-9031.00,Desktop Publishers,
CSE,3,43-4061.00,"Eligibility Interviewers, Government Programs",
CRI,3,47-4011.01,Energy Auditors,
CES,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,
CE,3,13-1041.04,Government Property Inspectors and Investigators,
CIS,3,29-9021.00,Health Information Technologists and Medical Registrars,Y
CES,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Y
CRE,3,13-1032.00,"Insurance Appraisers, Auto Damage",
CSE,3,43-4111.00,"Interviewers, Except Eligibility and Loan",
CE,3,43-6012.00,Legal Secretaries and Administrative Assistants,
CS,3,25-4031.00,Library Technicians,
CES,3,43-4131.00,Loan Interviewers and Clerks,
CSR,3,31-9092.00,Medical Assistants,Y
CI,3,29-2072.00,Medical Records Specialists,Y
CSI,3,31-9094.00,Medical Transcriptionists,
CES,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",Y
CRI,3,15-1244.00,Network and Computer Systems Administrators,
CES,3,43-4141.00,New Accounts Clerks,
CRI,3,19-5012.00,Occupational Health and Safety Technicians,Y
CR,3,29-2081.00,"Opticians, Dispensing",Y
CIE,3,23-2011.00,Paralegals and Legal Assistants,
CE,3,43-3051.00,Payroll and Timekeeping Clerks,
CR,3,29-2052.00,Pharmacy Technicians,Y
CRI,3,33-3021.02,Police Identification and Records Officers,
CR,3,51-5111.00,Prepress Technicians and Workers,
CEI,3,33-9021.00,Private Detectives and Investigators,Y
CIR,3,19-4099.01,Quality Control Analysts,Y
CE,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",
CE,3,13-2082.00,Tax Preparers,Y
CRI,3,15-1241.01,Telecommunications Engineering Specialists,Y
CI,3,15-1254.00,Web Developers,Y
CEI,4,13-2011.00,Accountants and Auditors,Y
CIE,4,15-2011.00,Actuaries,
CE,4,13-2023.00,Appraisers and Assessors of Real Estate,
CER,4,13-2022.00,Appraisers of Personal and Business Property,
CRI,4,19-4021.00,Biological Technicians,
CRE,4,11-3051.04,Biomass Power Plant Managers,
CI,4,15-1299.07,Blockchain Engineers,Y
CER,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,
CEI,4,13-2031.00,Budget Analysts,
CIE,4,15-2051.01,Business Intelligence Analysts,Y
CIR,4,17-1021.00,Cartographers and Photogrammetrists,Y
CEI,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",
CI,4,15-2051.02,Clinical Data Managers,Y
CES,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Y
CE,4,11-9199.02,Compliance Managers,
CE,4,13-1041.00,Compliance Officers,
CEI,4,11-3021.00,Computer and Information Systems Managers,Y
CIR,4,15-1231.00,Computer Network Support Specialists,
CI,4,15-1251.00,Computer Programmers,
CE,4,13-1051.00,Cost Estimators,
CEI,4,13-2041.00,Credit Analysts,
CSE,4,13-2071.00,Credit Counselors,
CI,4,15-1243.01,Data Warehousing Specialists,
CI,4,15-1242.00,Database Administrators,
CI,4,15-1243.00,Database Architects,Y
CI,4,15-1299.03,Document Management Specialists,Y
CIR,4,13-1041.01,Environmental Compliance Inspectors,
CEI,4,13-2051.00,Financial and Investment Analysts,
CEI,4,13-2061.00,Financial Examiners,
CIE,4,13-2054.00,Financial Risk Specialists,
CIE,4,13-2099.04,"Fraud Examiners, Investigators and Analysts",
CIR,4,15-1299.02,Geographic Information Systems Technologists and Technicians,Y
CIR,4,17-2112.00,Industrial Engineers,Y
CI,4,15-1212.00,Information Security Analysts,Y
CIR,4,15-1299.05,Information Security Engineers,Y
CEI,4,13-2053.00,Insurance Underwriters,
CAS,4,27-3091.00,Interpreters and Translators,
CES,4,13-2072.00,Loan Officers,
CEI,4,13-1081.00,Logisticians,
CEI,4,13-1081.02,Logistics Analysts,Y
CIR,4,13-1081.01,Logistics Engineers,
CE,4,11-9199.08,Loss Prevention Managers,Y
CIE,4,13-1111.00,Management Analysts,Y
CE,4,13-1199.06,Online Merchants,Y
CA,4,43-9081.00,Proofreaders and Copy Markers,
CER,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Y
CEI,4,11-3051.01,Quality Control Systems Managers,
CRI,4,17-2072.01,Radio Frequency Identification Device Specialists,
CEI,4,13-1041.07,Regulatory Affairs Specialists,
CRI,4,19-4099.03,Remote Sensing Technicians,
CIR,4,13-1199.07,Security Management Specialists,Y
CI,4,43-9111.00,Statistical Assistants,
CRI,4,17-1022.00,Surveyors,
CAI,4,27-3042.00,Technical Writers,
CR,4,53-6051.00,Transportation Inspectors,
CE,4,11-3031.01,Treasurers and Controllers,Y
CIE,4,15-1299.01,Web Administrators,Y
SCR,4,25-2059.01,Adapted Physical Education Specialists,Y
CEI,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y
CSI,5,29-1071.01,Anesthesiologist Assistants,Y
CI,5,25-4011.00,Archivists,Y
CES,5,25-4012.00,Curators,Y
CEI,5,23-1012.00,Judicial Law Clerks,Y
CSI,5,25-4022.00,Librarians and Media Collections Specialists,Y
ICR,5,19-1029.01,Bioinformatics Scientists,Y
IC,5,15-2041.01,Biostatisticians,Y
IC,5,15-1221.00,Computer and Information Research Scientists,Y
SCE,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y
IC,5,13-2099.01,Financial Quantitative Analysts,Y
ICR,5,19-1029.03,Geneticists,Y
ICS,5,15-1211.01,Health Informatics Specialists,Y
ECI,5,11-3031.03,Investment Fund Managers,Y
ICR,5,19-1029.02,Molecular and Cellular Biologists,Y
IC,5,15-2031.00,Operations Research Analysts,Y
IC,5,15-2041.00,Statisticians,Y
IC,5,19-3022.00,Survey Researchers,Y
SC,5,25-9044.00,"Teaching Assistants, Postsecondary",Y
